CHR Start End Gene TenThousandStart TenThousandEnd
1 47023090 47082515 MKNK1 47013090 47092515
1 45271585 45272957 TCTEX1D4 45261585 45282957
1 45274154 45281257 BTBD19 45264154 45291257
1 205012325 205047627 CNTN2 205002325 205057627
1 45285516 45308735 PTCH2 45275516 45318735
1 41481269 41488909 SLFNL1 41471269 41498909
1 47073387 47082563 MOB3C 47063387 47092563
1 205052258 205053645 TMEM81 205042258 205063645
1 205055270 205091143 RBBP5 205045270 205101143
1 47098409 47139539 ATPAF1 47088409 47149539
1 41492872 41707826 SCMH1 41482872 41717826
1 150240600 150253327 C1orf54 150230600 150263327
1 45316450 45452282 EIF2B3 45306450 45462282
1 44115829 44171186 KDM4A 44105829 44181186
1 205111632 205180727 DSTYK 205101632 205190727
1 47124366 47184824 EFCAB14 47114366 47194824
1 47134527 47139266 TEX38 47124527 47149266
1 41827594 41849262 FOXO6 41817594 41859262
1 205197304 205242471 TMCC2 205187304 205252471
1 41944446 41950344 EDN2 41934446 41960344
1 47223510 47285085 CYP4B1 47213510 47295085
1 205271187 205290883 NUAK2 205261187 205300883
1 23410516 23504301 LUZP1 23400516 23514301
1 41972036 42501596 HIVEP3 41962036 42511596
1 23516993 23521222 HTR1D 23506993 23531222
1 205305220 205326218 KLHDC8A 205295220 205336218
1 150266289 150281414 MRPS21 150256289 150291414
1 45468212 45477001 HECTD3 45458212 45487001
1 23630264 23670829 HNRNPR 23620264 23680829
1 205350506 205425082 LEMD1 205340506 205435082
1 42619092 42621495 GUCA2B 42609092 42631495
1 47394849 47407156 CYP4A11 47384849 47417156
1 42628362 42630389 GUCA2A 42618362 42640389
1 42642210 42801548 FOXJ3 42632210 42811548
1 150293925 150325671 PRPF3 150283925 150335671
1 205473723 205501921 CDK18 205463723 205511921
1 47427036 47516423 CYP4X1 47417036 47526423
1 23685941 23695935 ZNF436 23675941 23705935
1 23707554 23751233 TCEA3 23697554 23761233
1 42846466 42888249 RIMKLA 42836466 42898249
1 47533160 47583991 CYP4Z1 47523160 47593991
1 42896000 42921938 ZMYND12 42886000 42931938
1 47603107 47615413 CYP4A22 47593107 47625413
1 45477819 45481247 UROD 45467819 45491247
1 42921788 42939056 PPCS 42911788 42949056
1 44171495 44396831 ST3GAL3 44161495 44406831
1 47649265 47656716 PDZK1IP1 47639265 47666716
1 47681962 47697892 TAL1 47671962 47707892
1 69091 70008 OR4F5 59091 80008
1 23755056 23811061 ASAP3 23745056 23821061
1 367640 368634 OR4F29 357640 378634
1 621059 622053 OR4F16 611059 632053
1 860260 879955 SAMD11 850260 889955
1 205538013 205572046 MFSD4 205528013 205582046
1 47715811 47779819 STIL 47705811 47789819
1 205577071 205601090 ELK4 205567071 205611090
1 150335567 150449042 RPRD2 150325567 150459042
1 205626979 205649587 SLC45A3 205616979 205659587
1 205681947 205719404 NUCKS1 205671947 205729404
1 43124096 43142429 PPIH 43114096 43152429
1 47799469 47844511 CMPK1 47789469 47854511
1 205737114 205744588 RAB7L1 205727114 205754588
1 47881744 47883723 FOXE3 47871744 47893723
1 47901689 47906363 FOXD2 47891689 47916363
1 48226200 48462567 TRABD2B 48216200 48472567
1 43148098 43168020 YBX1 43138098 43178020
1 48688357 48714316 SLC5A9 48678357 48724316
1 205758221 205782876 SLC41A1 205748221 205792876
1 879584 894689 NOC2L 869584 904689
1 45482071 45771881 ZSWIM5 45472071 45781881
1 45792545 45794347 HPDL 45782545 45804347
1 150459887 150480078 TARS2 150449887 150490078
1 205797150 205819260 PM20D1 205787150 205829260
1 895967 901095 KLHL17 885967 911095
1 23832922 23857712 E2F2 23822922 23867712
1 23884409 23886285 ID3 23874409 23896285
1 48761044 48937845 SPATA6 48751044 48947845
1 205882176 205912588 SLC26A9 205872176 205922588
1 24018269 24022915 RPL11 24008269 24032915
1 43198764 43205925 CLDN19 43188764 43215925
1 48998527 50489585 AGBL4 48988527 50499585
1 206136916 206155151 FAM72A 206126916 206165151
1 49193195 49242641 BEND5 49183195 49252641
1 43212006 43232755 LEPRE1 43202006 43242755
1 206223976 206231639 AVPR1B 206213976 206241639
1 934342 935552 HES4 924342 945552
1 206238872 206288647 C1orf186 206228872 206298647
1 948803 949920 ISG15 938803 959920
1 206317459 206332104 CTSE 206307459 206342104
1 44398992 44402913 ARTN 44388992 44412913
1 955503 991496 AGRN 945503 1001496
1 45794835 45806142 MUTYH 45784835 45816142
1 50513686 50669458 ELAVL4 50503686 50679458
1 24069645 24088549 TCEB3 24059645 24098549
1 150480538 150486265 ECM1 150470538 150496265
1 206516200 206637783 SRGAP2 206506200 206647783
1 44412611 44433694 IPO13 44402611 44443694
1 50883222 50889172 DMRTA2 50873222 50899172
1 24117460 24122029 LYPLA2 24107460 24132029
1 50905150 51425935 FAF1 50895150 51435935
1 206643791 206670223 IKBKE 206633791 206680223
1 44435672 44439041 DPH2 44425672 44449041
1 51426417 51440305 CDKN2C 51416417 51450305
1 1006346 1009687 RNF223 996346 1019687
1 206680879 206762616 RASSF5 206670879 206772616
1 51567906 51613752 C1orf185 51557906 51623752
1 51701943 51739127 RNF11 51691943 51749127
1 1017198 1051741 C1orf159 1007198 1061741
1 206744620 206785904 EIF2D 206734620 206795904
1 44440159 44443967 ATP6V0B 44430159 44453967
1 150521884 150533413 ADAMTSL4 150511884 150543413
1 51752930 51810788 TTC39A 51742930 51820788
1 206808881 206857764 DYRK3 206798881 206867764
1 24122089 24127271 GALE 24112089 24137271
1 44444615 44456840 B4GALT2 44434615 44466840
1 206858289 206907628 MAPKAPK2 206848289 206917628
1 206940947 206945839 IL10 206930947 206955839
1 206972215 207016324 IL19 206962215 207026324
1 45805342 45809647 TOE1 45795342 45819647
1 150547032 150552066 MCL1 150537032 150562066
1 207038699 207042568 IL20 207028699 207052568
1 1109264 1133315 TTLL10 1099264 1143315
1 51819935 51985000 EPS15 51809935 51995000
1 207070788 207077484 IL24 207060788 207087484
1 24128375 24165110 HMGCL 24118375 24175110
1 45809555 45956872 TESK2 45799555 45966872
1 207077731 207096592 FAIM3 207067731 207106592
1 24171567 24194784 FUCA1 24161567 24204784
1 150573327 150602088 ENSA 150563327 150612088
1 207101863 207119811 PIGR 207091863 207129811
1 24197016 24285549 CNR2 24187016 24295549
1 24285599 24289952 PNRC2 24275599 24299952
1 207131310 207143970 FCAMR 207121310 207153970
1 1138888 1142071 TNFRSF18 1128888 1152071
1 207191866 207206101 C1orf116 207181866 207216101
1 1146706 1149518 TNFRSF4 1136706 1159518
1 207217194 207226325 YOD1 207207194 207236325
1 24291294 24307417 SRSF10 24281294 24317417
1 1152288 1167411 SDF4 1142288 1177411
1 150618701 150669630 GOLPH3L 150608701 150679630
1 207222801 207254369 PFKFB2 207212801 207264369
1 207262187 207273338 C4BPB 207252187 207283338
1 150670536 150693364 HORMAD1 150660536 150703364
1 1167629 1170421 B3GALT6 1157629 1180421
1 1177826 1182102 FAM132A 1167826 1192102
1 207277607 207318317 C4BPA 207267607 207328317
1 52042851 52254889 OSBPL9 52032851 52264889
1 1189289 1209265 UBE2J2 1179289 1219265
1 24382525 24438665 MYOM3 24372525 24448665
1 207494853 207534311 CD55 207484853 207544311
1 150702672 150738433 CTSS 150692672 150748433
1 207627575 207663240 CR2 207617575 207673240
1 24446261 24469611 IL22RA1 24436261 24479611
1 150768684 150780799 CTSK 150758684 150790799
1 24480647 24514449 IFNLR1 24470647 24524449
1 1215816 1227409 SCNN1D 1205816 1237409
1 24645812 24690972 GRHL3 24635812 24700972
1 207669492 207813992 CR1 207659492 207823992
1 1227756 1244989 ACAP3 1217756 1254989
1 207818458 207911761 CR1L 207808458 207921761
1 52254863 52344477 NRD1 52244863 52354477
1 24683489 24743424 STPG1 24673489 24753424
1 150782181 150849244 ARNT 150772181 150859244
1 24742284 24799466 NIPAL3 24732284 24809466
1 207925402 207968858 CD46 207915402 207978858
1 1243947 1247057 PUSL1 1233947 1257057
1 52373628 52456436 RAB3B 52363628 52466436
1 24829387 24867530 RCAN3 24819387 24877530
1 52485803 52521843 TXNDC12 52475803 52531843
1 24882602 24935819 NCMAP 24872602 24945819
1 52497775 52499488 KTI12 52487775 52509488
1 24958207 24999758 SRRM1 24948207 25009758
1 208057594 208084747 CD34 208047594 208094747
1 52608046 52812358 ZFYVE9 52598046 52822358
1 150898739 150937213 SETDB1 150888739 150947213
1 1246965 1260071 CPSF3L 1236965 1270071
1 208195587 208417665 PLXNA2 208185587 208427665
1 52811395 52831865 CC2D1B 52801395 52841865
1 25071848 25170815 CLIC4 25061848 25180815
1 209757062 209787283 CAMK1G 209747062 209797283
1 52838501 52870131 ORC1 52828501 52880131
1 150933059 150947479 CERS2 150923059 150957479
1 209788215 209825811 LAMB3 209778215 209835811
1 52870236 52886511 PRPF38A 52860236 52896511
1 209848765 209849733 G0S2 209838765 209859733
1 209859510 209908295 HSD11B1 209849510 209918295
1 209929377 209955668 TRAF3IP3 209919377 209965668
1 150954493 150968110 ANXA9 150944493 150978110
1 52873954 53019159 ZCCHC11 52863954 53029159
1 209959036 209979465 IRF6 209949036 209989465
1 150969025 150980851 FAM63A 150959025 150990851
1 210001352 210030910 DIEXF 209991352 210040910
1 1260136 1264277 GLTPD1 1250136 1274277
1 53068044 53074723 GPX7 53058044 53084723
1 210111538 210337636 SYT14 210101538 210347636
1 53099016 53135355 FAM159A 53089016 53145355
1 1266694 1270686 TAS1R3 1256694 1280686
1 53192126 53293014 ZYG11B 53182126 53303014
1 1270656 1284730 DVL1 1260656 1294730
1 53308183 53360670 ZYG11A 53298183 53370670
1 210501596 210849638 HHAT 210491596 210859638
1 150980896 151008189 PRUNE 150970896 151018189
1 53361656 53392884 ECHDC2 53351656 53402884
1 25226002 25291612 RUNX3 25216002 25301612
1 210856555 211307457 KCNH1 210846555 211317457
1 25549170 25558993 SYF2 25539170 25568993
1 211431719 211489727 RCOR3 211421719 211499727
1 1288069 1297157 MXRA8 1278069 1307157
1 53392901 53517375 SCP2 53382901 53527375
1 151009046 151020076 BNIPL 150999046 151030076
1 211499957 211548288 TRAF5 211489957 211558288
1 1309110 1310875 AURKAIP1 1299110 1320875
1 211649864 211666259 RD3 211639864 211676259
1 211744910 211752084 SLC30A1 211734910 211762084
1 151020216 151024462 C1orf56 151010216 151034462
1 211836114 211848960 NEK2 211826114 211858960
1 53527854 53551174 PODN 53517854 53561174
1 151023447 151042801 CDC42SE1 151013447 151052801
1 211916799 212004114 LPGAT1 211906799 212014114
1 53552855 53608289 SLC1A7 53542855 53618289
1 151030234 151040970 MLLT11 151020234 151050970
1 53662101 53679869 CPT2 53652101 53689869
1 53679771 53686289 C1orf123 53669771 53696289
1 212113741 212208884 INTS7 212103741 212218884
1 151043054 151098018 GABPB2 151033054 151108018
1 1321091 1334708 CCNL2 1311091 1344708
1 53692564 53704282 MAGOH 53682564 53714282
1 53711217 53793742 LRP8 53701217 53803742
1 151104161 151119104 SEMA6C 151094161 151129104
1 212208919 212280742 DTL 212198919 212290742
1 53925072 53933161 DMRTB1 53915072 53943161
1 212458879 212535200 PPP2R5A 212448879 212545200
1 25598884 25656936 RHD 25588884 25666936
1 1337288 1342693 MRPL20 1327288 1352693
1 53971910 54199877 GLIS1 53961910 54209877
1 212537273 212588243 TMEM206 212527273 212598243
1 1353800 1357149 ANKRD65 1343800 1367149
1 151129105 151132225 TNFAIP8L2 151119105 151142225
1 212606229 212619714 NENF 212596229 212629714
1 54231133 54304533 NDC1 54221133 54314533
1 151129140 151142773 SCNM1 151119140 151152773
1 212738676 212794119 ATF3 212728676 212804119
1 1361508 1363167 TMEM88B 1351508 1373167
1 1370241 1378262 VWA1 1360241 1388262
1 212859760 212873327 BATF3 212849760 212883327
1 1385069 1405538 ATAD3C 1375069 1415538
1 151132224 151138424 LYSMD1 151122224 151148424
1 1407143 1433228 ATAD3B 1397143 1443228
1 212899495 212965124 NSL1 212889495 212975124
1 151142462 151148760 TMOD4 151132462 151158760
1 212965170 212989968 TATDN3 212955170 212999968
1 54317392 54356407 YIPF1 54307392 54366407
1 151142463 151167797 VPS72 151132463 151177797
1 54356912 54376759 DIO1 54346912 54386759
1 213031597 213072705 FLVCR1 213021597 213082705
1 54382247 54411602 HSPB11 54372247 54421602
1 25664408 25688852 TMEM50A 25654408 25698852
1 213123862 213165379 VASH2 213113862 213175379
1 1447531 1470067 ATAD3A 1437531 1480067
1 151170425 151222012 PIP5K1A 151160425 151232012
1 54474412 54483856 LDLRAD1 54464412 54493856
1 1470554 1475833 TMEM240 1460554 1485833
1 1477053 1510249 SSU72 1467053 1520249
1 54497347 54519177 TMEM59 54487347 54529177
1 1533392 1535476 C1orf233 1523392 1545476
1 213224589 213448116 RPS6KC1 213214589 213458116
1 151227179 151239955 PSMD4 151217179 151249955
1 54519260 54578192 TCEANC2 54509260 54588192
1 214156524 214214595 PROX1 214146524 214224595
1 25688740 25756683 RHCE 25678740 25766683
1 54598747 54619443 CDCP2 54588747 54629443
1 214454445 214510474 SMYD2 214444445 214520474
1 54638009 54665709 CYB5RL 54628009 54675709
1 151254094 151264656 ZNF687 151244094 151274656
1 54649714 54691137 MRPL37 54639714 54701137
1 1550795 1565990 MIB2 1540795 1575990
1 54691105 54879152 SSBP3 54681105 54889152
1 214522039 214725792 PTPN14 214512039 214735792
1 151264273 151300191 PI4KB 151254273 151310191
1 214776538 214837931 CENPF 214766538 214847931
1 54703710 54704736 SSBP3-AS1 54693710 54714736
1 55007930 55104865 ACOT11 54997930 55114865
1 25757388 25826700 TMEM57 25747388 25836700
1 25870071 25895377 LDLRAP1 25860071 25905377
1 215179118 215410436 KCNK2 215169118 215420436
1 55074855 55089229 FAM151A 55064855 55099229
1 215740735 215795149 KCTD3 215730735 215805149
1 55107463 55175939 MROH7 55097463 55185939
1 151313116 151319833 RFX5 151303116 151329833
1 215796236 216596738 USH2A 215786236 216606738
1 25943959 26112698 MAN1C1 25933959 26122698
1 55107459 55207981 MROH7-TTC4 55097459 55217981
1 55181495 55208330 TTC4 55171495 55218330
1 1567474 1570639 MMP23B 1557474 1580639
1 55222571 55230187 PARS2 55212571 55240187
1 55245385 55266940 TTC22 55235385 55276940
1 216676588 217311097 ESRRG 216666588 217321097
1 26126667 26144713 SEPN1 26116667 26154713
1 55315306 55352891 DHCR24 55305306 55362891
1 55446465 55457966 TMEM61 55436465 55467966
1 217600334 217804424 GPATCH2 217590334 217814424
1 55464606 55476556 BSND 55454606 55486556
1 55505221 55530525 PCSK9 55495221 55540525
1 1570603 1590473 CDK11B 1560603 1600473
1 151336778 151345209 SELENBP1 151326778 151355209
1 217804666 218045038 SPATA17 217794666 218055038
1 218458629 218511325 RRP15 218448629 218521325
1 218519577 218617961 TGFB2 218509577 218627961
1 55532032 55680786 USP24 55522032 55690786
1 219347186 219386207 LYPLAL1 219337186 219396207
1 219858769 220131989 SLC30A10 219848769 220141989
1 26145212 26147288 AL020996.1 26135212 26157288
1 56960419 57110974 PPAP2B 56950419 57120974
1 26158414 26185903 AUNIP 26148414 26195903
1 26187701 26197744 PAQR7 26177701 26207744
1 57110995 57181008 PRKAA2 57100995 57191008
1 26210672 26233482 STMN1 26200672 26243482
1 220141943 220220000 EPRS 220131943 220230000
1 151372010 151374420 PSMB4 151362010 151384420
1 1592939 1624167 SLC35E2B 1582939 1634167
1 57184477 57285369 C1orf168 57174477 57295369
1 26286258 26324648 PAFAH2 26276258 26334648
1 57320479 57383894 C8A 57310479 57393894
1 57394883 57431813 C8B 57384883 57441813
1 26346375 26362955 EXTL1 26336375 26372955
1 1634169 1655766 CDK11A 1624169 1665766
1 220230824 220263804 BPNT1 220220824 220273804
1 57460451 59012406 DAB1 57450451 59022406
1 220267444 220321380 IARS2 220257444 220331380
1 26363743 26372624 SLC30A2 26353743 26382624
1 58881056 59012474 OMA1 58871056 59022474
1 26377795 26394927 TRIM63 26367795 26404927
1 59041099 59043166 TACSTD2 59031099 59053166
1 26437664 26452034 PDIK1L 26427664 26462034
1 59120411 59165764 MYSM1 59110411 59175764
1 26496362 26498551 ZNF593 26486362 26508551
1 220321635 220445796 RAB3GAP2 220311635 220455796
1 59246465 59249785 JUN 59236465 59259785
1 151375200 151431941 POGZ 151365200 151441941
1 26503894 26516377 CNKSR1 26493894 26526377
1 59762310 60233347 FGGY 59752310 60243347
1 60280458 60342050 HOOK1 60270458 60352050
1 220701568 220837803 MARK1 220691568 220847803
1 1656277 1677431 SLC35E2 1646277 1687431
1 60358980 60392462 CYP2J2 60348980 60402462
1 220863187 220872499 C1orf115 220853187 220882499
1 220921567 220958150 MARC2 220911567 220968150
1 151482986 151511168 CGN 151472986 151521168
1 220960101 220987735 MARC1 220950101 220997735
1 60452941 60539442 C1orf87 60442941 60549442
1 221051699 221058401 HLX 221041699 221068401
1 221874766 221915518 DUSP10 221864766 221925518
1 222695602 222721445 HHIPL2 222685602 222731445
1 61330931 61928465 NFIA 61320931 61938465
1 222731244 222763275 TAF1A 222721244 222773275
1 151512781 151556059 TUFT1 151502781 151566059
1 62146718 62191095 TM2D1 62136718 62201095
1 26517052 26529459 CATSPER4 26507052 26539459
1 26560691 26605299 CEP85 26550691 26615299
1 222791428 222841354 MIA3 222781428 222851354
1 26605667 26608007 SH3BGRL3 26595667 26618007
1 62208149 62629592 INADL 62198149 62639592
1 151584541 151671567 SNX27 151574541 151681567
1 26607819 26644854 UBXN11 26597819 26654854
1 1682671 1711896 NADK 1672671 1721896
1 222841355 222886552 AIDA 222831355 222896552
1 151674880 151689290 CELF3 151664880 151699290
1 222885895 222908538 BROX 222875895 222918538
1 62660503 62678000 L1TD1 62650503 62688000
1 1716729 1822495 GNB1 1706729 1832495
1 62702651 62785085 KANK4 62692651 62795085
1 1846266 1848735 CALML6 1836266 1858735
1 222988406 223179337 DISP1 222978406 223189337
1 1849029 1850712 TMEM52 1839029 1860712
1 62901968 62917475 USP1 62891968 62927475
1 223282748 223316624 TLR5 223272748 223326624
1 223394161 223537544 SUSD4 223384161 223547544
1 1950780 1962192 GABRD 1940780 1972192
1 26644448 26647014 CD52 26634448 26657014
1 151732119 151736040 MRPL9 151722119 151746040
1 26648350 26680621 AIM1L 26638350 26690621
1 223711349 223853436 CAPN8 223701349 223863436
1 62920399 63153969 DOCK7 62910399 63163969
1 1981909 2116834 PRKCZ 1971909 2126834
1 26688125 26701013 ZNF683 26678125 26711013
1 151735445 151743808 OAZ3 151725445 151753808
1 26737269 26756213 LIN28A 26727269 26766213
1 223889295 223963720 CAPN2 223879295 223973720
1 26758773 26797785 DHDDS 26748773 26807785
1 223967601 224033674 TP53BP2 223957601 224043674
1 151742583 151763892 TDRKH 151732583 151773892
1 63063158 63071830 ANGPTL3 63053158 63081830
1 63249806 63331184 ATG4C 63239806 63341184
1 224301789 224349749 FBXO28 224291789 224359749
1 2115903 2144159 C1orf86 2105903 2154159
1 224363458 224381143 DEGS1 224353458 224391143
1 63788730 63790797 FOXD3 63778730 63800797
1 63833261 63904233 ALG6 63823261 63914233
1 26798941 26802463 HMGN2 26788941 26812463
1 151772740 151778630 LINGO4 151762740 151788630
1 2160134 2241558 SKI 2150134 2251558
1 224415036 224518089 NVL 224405036 224528089
1 63906441 64059392 ITGB3BP 63896441 64069392
1 151778547 151804348 RORC 151768547 151814348
1 26856252 26901521 RPS6KA1 26846252 26911521
1 63989043 64038364 EFCAB7 63979043 64048364
1 151810295 151813033 C2CD4D 151800295 151823033
1 151819739 151826173 THEM5 151809739 151836173
1 224544552 224567161 CNIH4 224534552 224577161
1 151846060 151882284 THEM4 151836060 151892284
1 2323267 2336883 RER1 2313267 2346883
1 64058947 64125916 PGM1 64048947 64135916
1 151955391 151966866 S100A10 151945391 151976866
1 152004982 152020383 S100A11 151994982 152030383
1 152056620 152061540 TCHHL1 152046620 152071540
1 224572845 224624735 WDR26 224562845 224634735
1 152078793 152086556 TCHH 152068793 152096556
1 64239693 64647181 ROR1 64229693 64657181
1 152126071 152131704 RPTN 152116071 152141704
1 2336236 2345236 PEX10 2326236 2355236
1 152184558 152196669 HRNR 152174558 152206669
1 64669310 64733051 UBE2U 64659310 64743051
1 152274651 152297679 FLG 152264651 152307679
1 152321211 152332482 FLG2 152311211 152342482
1 64936428 65158741 CACHD1 64926428 65168741
1 152381719 152386739 CRNN 152371719 152396739
1 152483320 152484653 LCE5A 152473320 152494653
1 224622362 224928251 CNIH3 224612362 224938251
1 152538130 152539248 LCE3E 152528130 152549248
1 152551857 152552980 LCE3D 152541857 152562980
1 152573138 152573562 LCE3C 152563138 152583562
1 2357419 2436969 PLCH2 2347419 2446969
1 152586287 152586574 LCE3B 152576287 152596574
1 152595310 152595579 LCE3A 152585310 152605579
1 152635872 152637135 LCE2D 152625872 152647135
1 65210778 65298915 RAVER2 65200778 65308915
1 152647771 152659877 LCE2B 152637771 152669877
1 152647771 152649050 LCE2C 152637771 152659050
1 152670840 152671918 LCE2A 152660840 152681918
1 152680636 152681967 LCE4A 152670636 152691967
1 152691998 152692905 C1orf68 152681998 152702905
1 27022524 27108595 ARID1A 27012524 27118595
1 65298912 65432187 JAK1 65288912 65442187
1 152730506 152734529 KPRP 152720506 152744529
1 152748848 152749445 LCE1F 152738848 152759445
1 152758690 152760902 LCE1E 152748690 152770902
1 152769227 152770657 LCE1D 152759227 152780657
1 152777311 152779107 LCE1C 152767311 152789107
1 152784447 152785585 LCE1B 152774447 152795585
1 152799949 152800573 LCE1A 152789949 152810573
1 225083964 225586996 DNAH14 225073964 225596996
1 152815344 152816459 LCE6A 152805344 152826459
1 152850793 152857523 SMCP 152840793 152867523
1 65613232 65697828 AK4 65603232 65707828
1 152881021 152884362 IVL 152871021 152894362
